SampleID,Diet,Week
SampleA1,Diet1,1
SampleA2,Diet1,1
SampleA3,Diet1,2
SampleA4,Diet1,2
SampleA5,Diet1,3
SampleA6,Diet1,3
SampleA7,Diet1,4
SampleA8,Diet1,4
SampleA9,Diet1,5
SampleA10,Diet1,5
SampleA11,Diet1,5
SampleA12,Diet1,5
SampleA13,Diet1,5
SampleA14,Diet1,5
SampleA15,Diet1,6
SampleA16,Diet1,6
SampleA17,Diet1,6
SampleA18,Diet1,7
SampleA19,Diet1,7
SampleA20,Diet1,7
SampleA21,Diet1,7
SampleA22,Diet1,8
SampleA23,Diet1,8
SampleA24,Diet1,8
SampleA25,Diet1,8
SampleA26,Diet1,8
SampleA27,Diet1,8
SampleA28,Diet1,9
SampleA29,Diet1,9
SampleA30,Diet1,9
SampleA31,Diet1,9
SampleA32,Diet1,9
SampleA33,Diet1,9
SampleA34,Diet1,10
SampleA35,Diet1,10
SampleA36,Diet1,10
SampleA37,Diet1,10
SampleA38,Diet1,10
SampleA39,Diet1,10
SampleA40,Diet1,11
SampleA41,Diet1,11
SampleA42,Diet1,11
SampleA43,Diet1,11
SampleA44,Diet1,11
SampleA45,Diet1,11
SampleA46,Diet1,12
SampleA47,Diet1,12
SampleA48,Diet1,12
SampleA49,Diet1,12
SampleA50,Diet1,12
SampleA51,Diet1,12
SampleA52,Diet1,13
SampleA53,Diet1,13
SampleA54,Diet1,13
SampleA55,Diet1,13
SampleA56,Diet1,13
SampleA57,Diet1,13
SampleA58,Diet1,14
SampleA59,Diet1,14
SampleA60,Diet1,14
SampleA61,Diet1,14
SampleA62,Diet1,14
SampleA63,Diet1,14
SampleA64,Diet1,15
SampleA65,Diet1,15
SampleA66,Diet1,15
SampleA67,Diet1,15
SampleA68,Diet1,15
SampleA69,Diet1,15
SampleA70,Diet1,16
SampleA71,Diet1,16
SampleA72,Diet1,16
SampleA73,Diet1,16
SampleA74,Diet1,16
SampleA75,Diet1,16
SampleB1,Diet2,1
SampleB2,Diet2,1
SampleB3,Diet2,2
SampleB4,Diet2,2
SampleB5,Diet2,3
SampleB6,Diet2,3
SampleB7,Diet2,4
SampleB8,Diet2,4
SampleB9,Diet2,5
SampleB10,Diet2,5
SampleB11,Diet2,5
SampleB12,Diet2,5
SampleB13,Diet2,5
SampleB14,Diet2,5
SampleB15,Diet2,6
SampleB16,Diet2,6
SampleB17,Diet2,6
SampleB18,Diet2,6
SampleB19,Diet2,6
SampleB20,Diet2,6
SampleB21,Diet2,7
SampleB22,Diet2,7
SampleB23,Diet2,8
SampleB24,Diet2,8
SampleB25,Diet2,8
SampleB26,Diet2,8
SampleB27,Diet2,8
SampleB28,Diet2,8
SampleB29,Diet2,9
SampleB30,Diet2,9
SampleB31,Diet2,9
SampleB32,Diet2,9
SampleB33,Diet2,9
SampleB34,Diet2,9
SampleB35,Diet2,10
SampleB36,Diet2,10
SampleB37,Diet2,10
SampleB38,Diet2,10
SampleB39,Diet2,10
SampleB40,Diet2,10
SampleB41,Diet2,11
SampleB42,Diet2,11
SampleB43,Diet2,11
SampleB44,Diet2,11
SampleB45,Diet2,11
SampleB46,Diet2,11
SampleB47,Diet2,12
SampleB48,Diet2,12
SampleB49,Diet2,12
SampleB50,Diet2,12
SampleB51,Diet2,12
SampleB52,Diet2,12
SampleB53,Diet2,13
SampleB54,Diet2,13
SampleB55,Diet2,13
SampleB56,Diet2,13
SampleB57,Diet2,13
SampleB58,Diet2,13
SampleB59,Diet2,14
SampleB60,Diet2,14
SampleB61,Diet2,14
SampleB62,Diet2,14
SampleB63,Diet2,14
SampleB64,Diet2,14
SampleB65,Diet2,15
SampleB66,Diet2,15
SampleB67,Diet2,15
SampleB68,Diet2,15
SampleB69,Diet2,15
SampleB70,Diet2,15
SampleB71,Diet2,16
SampleB72,Diet2,16
SampleB73,Diet2,16
SampleB74,Diet2,16
SampleB75,Diet2,16
SampleB76,Diet2,16
SampleC1,Diet3,7
SampleC2,Diet3,8
SampleC3,Diet3,9
SampleC4,Diet3,7
SampleC5,Diet3,8
SampleC6,Diet3,9
SampleC7,Diet3,7
SampleC8,Diet3,8
SampleC9,Diet3,9
SampleC10,Diet3,1
SampleC11,Diet3,10
SampleC12,Diet3,11
SampleC13,Diet3,12
SampleC14,Diet3,13
SampleC15,Diet3,14
SampleC16,Diet3,15
SampleC17,Diet3,16
SampleC18,Diet3,2
SampleC19,Diet3,3
SampleC20,Diet3,4
SampleC21,Diet3,5
SampleC22,Diet3,6
SampleC23,Diet3,7
SampleC24,Diet3,8
SampleC25,Diet3,9
SampleC26,Diet3,7
SampleC27,Diet3,8
SampleC28,Diet3,9
SampleC29,Diet3,7
SampleC30,Diet3,8
SampleC31,Diet3,9
SampleC32,Diet3,1
SampleC33,Diet3,10
SampleC34,Diet3,11
SampleC35,Diet3,12
SampleC36,Diet3,13
SampleC37,Diet3,14
SampleC38,Diet3,15
SampleC39,Diet3,16
SampleC40,Diet3,2
SampleC41,Diet3,3
SampleC42,Diet3,4
